tile,n_total,n_ellipse,n_center_only,png,reg,csv
zangetsu_upper_left_x26342_y7477,272,259,13,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_upper_left_x26342_y7477_HSC-I_cmodel_ellipses_area1000_center.png,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_upper_left_x26342_y7477_HSC-I_cmodel_ellipses_area1000_center.reg,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_upper_left_x26342_y7477_HSC-I_cmodel_ellipses_area1000_center.csv
zangetsu_lower_right_x27366_y6453,335,328,7,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_lower_right_x27366_y6453_HSC-I_cmodel_ellipses_area1000_center.png,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_lower_right_x27366_y6453_HSC-I_cmodel_ellipses_area1000_center.reg,zangetsu_demo/cmodel_ellipse_overlays/zangetsu_lower_right_x27366_y6453_HSC-I_cmodel_ellipses_area1000_center.csv
