tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184167,378.614617,144.234570,0.024000,0.023998,23.281761,0.001809,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184168,326.132709,92.314229,1.103462,1.089267,49.702061,3.776083,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184170,310.058890,92.510511,1.304664,1.304323,-42.778978,5.346058,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184238,9.209010,127.802890,1.911935,0.784507,-11.962949,4.712160,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184244,1.857960,98.054807,1.916603,1.910118,53.833656,11.501177,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184245,13.310224,147.133661,2.876402,2.875617,21.811959,25.985465,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184282,410.496049,141.747038,3.164640,1.887785,-46.913183,18.768381,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184283,396.645037,117.216925,0.835115,0.594989,37.592309,1.561006,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184284,435.715388,142.076111,1.120678,0.731592,84.515870,2.575728,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184286,414.245800,117.348677,2.286259,2.283358,-47.281210,16.400204,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184287,432.010080,154.258889,2.515534,2.513495,74.683633,19.863609,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184288,475.527631,122.350770,3.870704,2.422241,-11.899803,29.454880,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184431,192.681770,131.501649,0.984658,0.793390,21.445604,2.454269,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184432,187.377287,145.606517,1.282112,1.281872,52.042003,5.163220,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184460,154.134971,151.642157,0.932681,0.852412,77.872678,2.497656,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184461,163.787838,146.129446,1.549803,0.852910,-26.642426,4.152692,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184462,142.086827,152.765797,0.628149,0.627077,-86.031648,1.237467,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184643,382.871139,168.855039,3.870752,1.830771,-9.360014,22.262774,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184644,380.017622,184.645584,1.362034,0.841095,72.738894,3.599006,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184674,455.673168,176.308403,2.953500,1.976990,-42.532631,18.343886,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184675,471.737101,189.532516,1.004164,1.003833,58.580454,3.166766,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184676,466.812914,183.851685,1.208074,1.207888,4.006655,4.584268,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184678,499.211549,180.511257,0.017641,0.017627,-55.657019,0.000977,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184679,505.119901,190.508028,6.298715,1.592269,-48.641825,31.507818,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184682,440.706735,160.632069,21.827216,15.292715,-57.225762,1048.655438,1
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184685,136.940322,328.472583,2.622609,1.201296,-5.178220,9.897680,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184686,176.505245,334.515872,5.894178,2.383928,-86.429055,44.143455,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184687,214.490260,321.512186,7.586994,1.737500,2.686800,41.413743,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184688,258.190134,387.080305,4.925669,1.863542,-17.580775,28.837281,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184689,221.953196,220.853211,2.966123,1.820045,19.951245,16.959822,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184690,266.774281,330.648547,0.868482,0.494499,20.521529,1.349199,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184691,272.196383,229.388652,7.698584,5.321509,28.668073,128.705033,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184692,346.861799,332.460355,1.857201,0.983325,-87.347814,5.737279,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184693,276.787350,308.755864,3.500404,3.177433,29.003092,34.941733,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184694,263.813975,342.447664,0.955317,0.475683,41.732674,1.427628,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184695,302.000000,203.000000,28.554576,13.612111,87.582702,1221.099506,1
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184696,270.387009,340.174454,4.605176,1.923613,-27.323991,27.830041,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184697,323.068765,181.878774,2.603125,0.216541,-2.667974,1.770863,0
