tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191052,165.000000,422.000000,193.091442,117.236775,76.796940,71117.545820,1
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191054,157.519235,347.129590,0.312839,0.312650,58.338273,0.307276,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191055,196.093629,416.282423,1.685080,0.906996,25.291820,4.801488,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191057,204.030277,434.054984,71.580804,16.355031,-21.039860,3677.882195,1
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191059,141.820499,504.788937,0.422401,0.421748,-4.379783,0.559665,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191062,138.490641,486.174966,2.259052,1.575308,-50.656118,11.179996,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191065,204.867274,464.943994,1.895103,1.162482,-38.916621,6.921002,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191066,165.159045,358.276604,1.019890,0.541940,-29.218200,1.736418,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191068,235.036649,438.230985,2.945161,0.903423,7.031174,8.358918,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191070,161.410159,327.115289,0.477010,0.476462,-46.119588,0.714012,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191073,115.894745,359.643458,0.599365,0.599223,-67.996304,1.128314,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191077,212.419222,326.063596,4.859662,3.299800,22.758313,50.378308,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191125,299.262490,338.594374,2.162150,2.104815,-87.934223,14.297156,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191161,51.593065,354.546028,2.655643,0.706130,-29.947082,5.891209,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191162,60.224154,342.396523,1.609164,1.607215,21.625613,8.125015,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191194,423.605829,362.655714,9.068707,4.897976,-62.345166,139.544243,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191195,410.247031,360.940056,0.275960,0.275735,-16.283385,0.239050,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191196,442.101570,370.154768,0.732435,0.731971,-42.683054,1.684273,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191468,23.878995,405.725521,3.922239,1.866641,-49.695831,23.000902,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191469,19.979136,399.669208,0.782574,0.782383,-74.606208,1.923511,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191470,5.753646,416.827445,1.896114,1.425410,-5.844204,8.490912,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191471,33.013849,394.864173,1.638113,0.802465,4.414223,4.129714,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191527,256.168846,392.068380,1.244566,0.453944,-0.282376,1.774885,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191528,251.237117,380.926344,5.210653,1.392198,-44.456071,22.789937,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191606,403.815058,437.110434,0.522277,0.519323,12.307961,0.852095,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191811,1.103427,449.984089,4.091961,3.356891,-27.819038,43.153760,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191812,11.714004,455.705875,4.157014,1.089637,-70.175699,14.230270,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191815,28.374170,449.349785,1.382837,0.858435,14.683696,3.729310,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191816,23.141343,440.215190,0.881969,0.880628,-32.201622,2.440034,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191820,26.057398,430.687677,0.032592,0.032587,-46.752835,0.003337,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191822,14.643300,433.182170,3.183739,1.086164,-54.405548,10.863824,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191827,394.028551,493.622606,2.460015,1.728015,82.232127,13.354733,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191828,421.898164,482.911651,1.962194,1.378569,6.572425,8.498067,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191829,397.380930,463.623178,1.957782,0.991341,-28.024521,6.097297,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191830,373.112883,461.598243,2.041336,0.820682,-71.325560,5.263073,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191831,382.161892,462.595194,1.076852,0.627724,76.309218,2.123609,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191832,375.194024,479.332931,1.175449,0.739168,64.812046,2.729587,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191833,412.566910,487.079579,1.086405,0.921935,-42.901138,3.146606,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191834,365.610665,474.148509,2.377087,1.384056,29.268391,10.335911,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191835,351.197438,447.907813,1.265685,0.668557,-66.287885,2.658361,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191836,434.896430,488.163201,0.777282,0.776719,-10.141811,1.896674,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191837,354.510825,464.124310,2.585066,2.584635,-18.292969,20.990399,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191838,406.557567,502.725552,1.294173,1.293049,1.224708,5.257232,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191841,324.908715,451.928058,1.160223,1.158235,-62.743601,4.221709,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191858,44.932459,492.698648,2.392323,0.970903,13.854035,7.297019,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191859,56.091871,471.931647,2.513975,1.119687,72.472033,8.843160,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191860,46.755118,484.591455,0.540390,0.540180,57.076212,0.917055,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191861,51.490053,463.043622,1.384047,1.382045,-58.095501,6.009287,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191862,38.715550,499.356782,0.514222,0.514080,-29.617263,0.830484,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342191999,281.715907,507.565415,1.528458,1.503891,-80.241030,7.221373,0
